"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z0402030201792065",-110.060173,35.782218,1,-3,0,24.06430817,-5908,93,-1541.666667,22,86.33333333
"Z0402030202580806",-112.864864,35.050124,1,-37,-62,20.45180511,-5717,94,-1596.5,35.66666667,84.33333333
"Z0402030202591797",-113.260724,35.494209,1,8,7,7.176589489,-5824,94,-1666.916667,28,89
"Z0402030300182588",-109.195444,34.870737,1,38,27,4.287213802,-5733,94,-1560.416667,22,89
"Z0402030300186212",-109.459544,35.370243,1,-10,0,7.160631657,-5824,94,-1567.166667,22.33333333,91.33333333
"Z0402030300191064",-109.267175,34.059979,1,-25,-55,45.36662292,-5797,91,-1233,34.66666667,61.66666667
"Z0402030300580518",-112.240103,35.076225,1,-11,-21,19.19042206,-5641,94,-1542.166667,43.66666667,85
"Z0402030300581737",-112.342217,36.58971,1,-75,-93,64.60919952,-5876,91,-1285.083333,38.66666667,60.33333333
"Z0402030300582693",-112.542734,35.415493,1,-8,-13,4.139926434,-5696,95,-1688.75,25,93
"Z0402030300585580",-112.339839,36.45455,1,-17,-31,20.99991417,-5897,90,-1197,43.33333333,51.33333333
"Z0402030300590793",-112.067113,36.908035,1,48,75,44.48345947,-5927,93,-1491.833333,26.33333333,84
"Z0402030300783784",-110.428297,33.773533,1,122,163,24.73898315,-5526,95,-1655.916667,50.33333333,114.6666667
"Z0402030300788669",-111.000696,33.802041,1,93,62,48.64179993,-5114,95,-1581.75,72.66666667,100.6666667
"Z0402030301580612",-113.505155,36.255482,1,-108,-120,38.5116272,-5917,94,-1696.833333,24.66666667,103.3333333
"Z0402030301586482",-112.629185,36.946719,1,18,30,6.409234047,-5895,95,-1711.833333,29.66666667,111.3333333
"Z0402030301586602",-113.670302,36.206892,1,7,0,7.507968903,-5860,94,-1611.166667,31,85
"Z0402030301783760",-110.720212,36.867383,1,127,118,48.49097061,-6014,93,-1531.833333,22.66666667,88
"Z0402030301788138",-110.103198,36.864364,1,21,-31,14.19718266,-5851,95,-1657.5,15,102.6666667
"Z0402030302581289",-113.093078,35.407224,1,15,20,8.442341805,-5812,94,-1671.083333,27.66666667,89.66666667
"Z0402030400181769",-109.386406,36.270882,1,7,4,14.32651043,-5904,94,-1526.666667,19.66666667,85
"Z0402030400181864",-109.731171,35.598891,1,-40,-28,15.5635519,-5835,94,-1610.666667,19.66666667,95.33333333
"Z0402030400191094",-109.564805,35.642086,1,10,4,10.36588669,-5821,94,-1553.75,21,86.33333333
"Z0402030400191359",-109.205193,34.420103,1,-5,-6,7.237521648,-5731,94,-1537.416667,21.33333333,86.66666667
"Z0402030400583335",-112.47669,36.02022,1,6,-3,13.34841537,-5855,94,-1670.333333,21.66666667,97.66666667
"Z0402030400587401",-111.448151,36.641563,1,4,13,14.11288929,-5967,95,-1667.5,13.33333333,107.3333333
"Z0402030400588842",-112.635649,35.657585,1,76,78,33.79304123,-5876,93,-1574.083333,25.66666667,85.33333333
"Z0402030400590269",-112.455407,36.678743,1,23,16,6.934578896,-5941,94,-1536.583333,30,89
"Z0402030400783840",-110.406513,33.800253,1,-95,-41,63.91370773,-5550,96,-1739.583333,44.66666667,125.6666667
"Z0402030400786270",-110.136559,33.799009,1,-55,-47,19.52913094,-5572,96,-1697.5,40.66666667,113
"Z0402030401582414",-112.765167,36.512146,1,-35,-50,35.8004837,-5911,95,-1727.666667,26,111.6666667
"Z0402030401586932",-112.911341,36.987506,1,-76,-138,31.75108337,-5825,94,-1575.583333,36,91.66666667
"Z0402030401780384",-110.281443,35.783753,1,21,8,25.54065132,-5914,94,-1598.416667,20.33333333,94.33333333
"Z0402030401783201",-110.387926,36.325254,1,18,22,17.09591484,-5822,94,-1575,20,83.66666667
"Z0402030401786604",-110.383984,36.821104,1,29,33,17.51968575,-5922,94,-1597.416667,17.33333333,96.33333333
"Z0402030401787832",-110.663508,37.002455,1,53,87,19.80236626,-6020,94,-1612.166667,18,108.6666667
"Z0402030401789265",-110.55534,36.280952,1,41,39,8.353134155,-5851,94,-1599.333333,18.66666667,89.33333333
"Z0402030402580804",-112.373586,35.147,1,-6,10,13.32522106,-5742,94,-1644.666667,32.33333333,94.66666667
"Z0402030402582038",-112.480947,35.05569,1,18,8,26.47353554,-5769,94,-1641.916667,32,95.33333333
"Z0402030500183112",-109.273006,35.340729,1,14,10,8.047836304,-5739,94,-1532.416667,23.66666667,83
"Z0402030500183468",-109.054566,34.345668,1,0,-1,15.55277729,-5713,93,-1484.5,21.66666667,78.66666667
"Z0402030500185983",-109.673771,35.733528,1,50,33,8.681915283,-5783,94,-1562.416667,21,86.33333333
"Z0402030500190750",-109.047278,34.19225,1,77,93,22.24626923,-5733,92,-1342.5,26,65.66666667
"Z0402030500580372",-112.487667,35.416058,1,-5,23,13.69333649,-5796,94,-1674.166667,24.33333333,94.66666667
"Z0402030500582888",-111.329429,35.064123,1,-6,0,7.783763409,-5762,93,-1392.666667,40.33333333,76.33333333
"Z0402030500583645",-112.025385,35.447943,1,-11,-19,12.18851948,-5779,93,-1395.083333,34.33333333,72.66666667
"Z0402030500586510",-110.833705,36.236574,1,34,54,26.60408592,-5763,95,-1689.5,15.33333333,102
"Z0402030500587707",-110.810615,36.579133,1,12,11,7.891793251,-5845,95,-1627.416667,18.66666667,93.33333333
"Z0402030500588799",-113.032708,36.06619,1,-187,-223,122.397171,-5962,94,-1690.083333,24.66666667,106.3333333
"Z0402030500590438",-112.450599,36.408226,1,228,297,31.41169357,-4978,95,-1890.5,23.33333333,108.3333333
"Z0402030500791286",-110.085052,33.618617,1,-13,16,87.9431076,-5552,95,-1627,45.66666667,105.3333333
"Z0402030501586980",-112.853688,36.943399,1,-45,8,35.33187485,-5931,94,-1607.583333,33.66666667,98.33333333
"Z0402030501588451",-113.620742,36.388261,1,-14,-21,8.984223366,-5884,94,-1638.083333,29.33333333,90
"Z0402030501588946",-112.849361,36.763206,1,74,77,41.02161407,-5829,95,-1723.75,29.66666667,107.3333333
